"id_comodidad_habitacion","id_tipo_habitacion","id_tipo_comodidad","detalle"
1,7,1,Disponible bajo petición
2,8,7,Incluido en la tarifa
3,6,8,Disponible bajo petición
4,7,4,Mantenimiento mensual
5,4,3,Incluido en la tarifa
6,9,4,Mantenimiento mensual
7,1,1,Incluido en la tarifa
8,1,10,Disponible bajo petición
9,9,10,Mantenimiento mensual
10,4,8,Disponible bajo petición
11,10,4,Requiere activación previa
12,3,8,Incluido en la tarifa
13,9,4,Disponible bajo petición
14,6,8,Requiere activación previa
15,8,3,Mantenimiento mensual
16,6,5,Disponible bajo petición
17,1,8,Requiere activación previa
18,5,5,Incluido en la tarifa
19,3,10,Disponible bajo petición
20,9,10,Mantenimiento mensual
21,5,7,Incluido en la tarifa
22,3,1,Requiere activación previa
23,4,1,Disponible bajo petición
24,2,5,Mantenimiento mensual
25,3,3,Disponible bajo petición
26,6,6,Incluido en la tarifa
27,9,9,Incluido en la tarifa
28,2,1,Mantenimiento mensual
29,3,1,Incluido en la tarifa
30,4,5,Requiere activación previa
31,3,7,Requiere activación previa
32,5,10,Mantenimiento mensual
33,9,10,Disponible bajo petición
34,7,2,Mantenimiento mensual
35,9,6,Disponible bajo petición
36,6,3,Disponible bajo petición
37,8,5,Incluido en la tarifa
38,1,1,Disponible bajo petición
39,4,10,Requiere activación previa
40,7,5,Incluido en la tarifa
41,6,7,Incluido en la tarifa
42,9,1,Mantenimiento mensual
43,3,10,Mantenimiento mensual
44,5,10,Incluido en la tarifa
45,10,1,Incluido en la tarifa
46,6,8,Incluido en la tarifa
47,5,1,Incluido en la tarifa
48,6,9,Incluido en la tarifa
49,6,5,Disponible bajo petición
50,3,3,Mantenimiento mensual
51,8,7,Disponible bajo petición
52,5,8,Incluido en la tarifa
53,4,6,Mantenimiento mensual
54,3,9,Disponible bajo petición
55,6,3,Incluido en la tarifa
56,1,8,Mantenimiento mensual
57,7,10,Requiere activación previa
58,4,4,Disponible bajo petición
59,8,7,Incluido en la tarifa
60,5,3,Disponible bajo petición
61,6,4,Incluido en la tarifa
62,9,2,Requiere activación previa
63,10,5,Mantenimiento mensual
64,10,9,Requiere activación previa
65,3,7,Incluido en la tarifa
66,3,10,Incluido en la tarifa
67,10,5,Requiere activación previa
68,10,2,Incluido en la tarifa
69,8,6,Disponible bajo petición
70,6,3,Mantenimiento mensual
71,5,9,Incluido en la tarifa
72,6,7,Mantenimiento mensual
73,2,2,Disponible bajo petición
74,8,7,Disponible bajo petición
75,9,10,Requiere activación previa
76,7,4,Incluido en la tarifa
77,5,7,Mantenimiento mensual
78,8,3,Incluido en la tarifa
79,4,2,Incluido en la tarifa
80,7,5,Incluido en la tarifa
81,8,7,Mantenimiento mensual
82,5,10,Disponible bajo petición
83,3,2,Disponible bajo petición
84,5,10,Requiere activación previa
85,4,1,Incluido en la tarifa
86,1,2,Disponible bajo petición
87,2,2,Mantenimiento mensual
88,7,9,Requiere activación previa
89,2,8,Mantenimiento mensual
90,8,5,Disponible bajo petición
91,1,1,Requiere activación previa
92,2,3,Disponible bajo petición
93,2,3,Mantenimiento mensual
94,5,7,Mantenimiento mensual
95,8,3,Incluido en la tarifa
96,9,5,Disponible bajo petición
97,3,6,Incluido en la tarifa
98,5,6,Mantenimiento mensual
99,8,6,Requiere activación previa
100,8,10,Mantenimiento mensual
101,6,10,Incluido en la tarifa
102,4,1,Disponible bajo petición
103,10,10,Mantenimiento mensual
104,10,6,Incluido en la tarifa
105,2,6,Requiere activación previa
106,3,6,Requiere activación previa
107,4,5,Incluido en la tarifa
108,6,6,Disponible bajo petición
109,1,4,Incluido en la tarifa
110,7,4,Disponible bajo petición
111,10,1,Mantenimiento mensual
112,8,2,Requiere activación previa
113,6,8,Mantenimiento mensual
114,1,5,Requiere activación previa
115,9,6,Incluido en la tarifa
116,8,1,Disponible bajo petición
117,9,10,Mantenimiento mensual
118,1,2,Requiere activación previa
119,4,6,Requiere activación previa
120,5,3,Incluido en la tarifa
121,4,3,Incluido en la tarifa
122,4,1,Mantenimiento mensual
123,1,10,Mantenimiento mensual
124,9,10,Requiere activación previa
125,2,6,Disponible bajo petición
126,4,10,Disponible bajo petición
127,3,1,Incluido en la tarifa
128,6,7,Mantenimiento mensual
129,2,10,Mantenimiento mensual
130,9,10,Mantenimiento mensual
131,8,7,Mantenimiento mensual
132,6,5,Mantenimiento mensual
133,4,3,Disponible bajo petición
134,3,9,Requiere activación previa
135,7,6,Disponible bajo petición
136,3,10,Requiere activación previa
137,6,9,Incluido en la tarifa
138,7,5,Requiere activación previa
139,7,3,Mantenimiento mensual
140,9,7,Incluido en la tarifa
141,1,5,Mantenimiento mensual
142,10,1,Incluido en la tarifa
143,9,1,Incluido en la tarifa
144,6,3,Disponible bajo petición
145,4,2,Requiere activación previa
146,5,6,Requiere activación previa
147,5,9,Requiere activación previa
148,4,8,Requiere activación previa
149,1,9,Requiere activación previa
150,5,1,Disponible bajo petición
151,8,2,Requiere activación previa
152,7,3,Disponible bajo petición
153,6,6,Requiere activación previa
154,7,10,Mantenimiento mensual
155,7,1,Mantenimiento mensual
156,8,9,Disponible bajo petición
157,2,6,Requiere activación previa
158,2,7,Requiere activación previa
159,8,7,Disponible bajo petición
160,1,9,Incluido en la tarifa
161,8,6,Disponible bajo petición
162,10,7,Requiere activación previa
163,6,6,Incluido en la tarifa
164,9,10,Incluido en la tarifa
165,10,1,Mantenimiento mensual
166,6,10,Incluido en la tarifa
167,7,4,Mantenimiento mensual
168,6,2,Mantenimiento mensual
169,6,4,Incluido en la tarifa
170,4,2,Mantenimiento mensual
171,10,8,Requiere activación previa
172,6,8,Mantenimiento mensual
173,6,5,Mantenimiento mensual
174,10,2,Requiere activación previa
175,5,1,Mantenimiento mensual
176,9,2,Disponible bajo petición
177,3,7,Mantenimiento mensual
178,10,8,Mantenimiento mensual
179,3,10,Incluido en la tarifa
180,3,10,Requiere activación previa
181,6,10,Disponible bajo petición
182,2,7,Mantenimiento mensual
183,3,10,Disponible bajo petición
184,5,8,Incluido en la tarifa
185,10,1,Incluido en la tarifa
186,2,5,Incluido en la tarifa
187,8,6,Disponible bajo petición
188,7,1,Mantenimiento mensual
189,9,4,Incluido en la tarifa
190,6,6,Mantenimiento mensual
191,7,8,Disponible bajo petición
192,6,9,Incluido en la tarifa
193,9,3,Requiere activación previa
194,9,1,Incluido en la tarifa
195,5,5,Incluido en la tarifa
196,9,5,Mantenimiento mensual
197,6,10,Disponible bajo petición
198,2,8,Incluido en la tarifa
199,2,8,Mantenimiento mensual
200,3,4,Disponible bajo petición
201,8,4,Requiere activación previa
202,3,8,Requiere activación previa
203,10,10,Requiere activación previa
204,2,10,Mantenimiento mensual
205,10,2,Mantenimiento mensual
206,8,5,Mantenimiento mensual
207,9,6,Mantenimiento mensual
208,1,7,Mantenimiento mensual
209,3,8,Disponible bajo petición
210,10,5,Mantenimiento mensual
211,6,1,Disponible bajo petición
212,7,5,Requiere activación previa
213,4,3,Incluido en la tarifa
214,8,3,Disponible bajo petición
