"id_detalle_factura","id_factura","id_servicio","id_habitacion","id_descuento","id_aumento_costo","concepto","precio_unitario","cantidad","subtotal","monto_descuento","monto_aumento","precio_total"
1,1,,331,,,Estad??a de habitaci??n,116.86,1,116.86,0.00,0.00,116.86
2,2,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
3,3,,331,,,Estad??a de habitaci??n,116.86,4,467.44,0.00,0.00,467.44
4,4,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
5,5,,331,,,Estad??a de habitaci??n,116.86,11,1285.46,0.00,0.00,1285.46
6,6,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
7,7,,331,,,Estad??a de habitaci??n,116.86,13,1519.18,0.00,0.00,1519.18
8,8,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
9,9,,331,,,Estad??a de habitaci??n,116.86,2,233.72,0.00,0.00,233.72
10,10,,331,,,Estad??a de habitaci??n,116.86,10,1168.60,0.00,0.00,1168.60
11,11,,282,,,Estad??a de habitaci??n,748.15,10,7481.50,0.00,0.00,7481.50
12,12,,331,,,Estad??a de habitaci??n,116.86,15,1752.90,0.00,0.00,1752.90
13,13,,331,,,Estad??a de habitaci??n,116.86,11,1285.46,0.00,0.00,1285.46
14,14,,331,,,Estad??a de habitaci??n,116.86,2,233.72,0.00,0.00,233.72
15,15,,331,,,Estad??a de habitaci??n,116.86,15,1752.90,0.00,0.00,1752.90
16,16,,331,,,Estad??a de habitaci??n,116.86,1,116.86,0.00,0.00,116.86
17,17,,331,,,Estad??a de habitaci??n,116.86,9,1051.74,0.00,0.00,1051.74
18,18,,331,,,Estad??a de habitaci??n,116.86,13,1519.18,0.00,0.00,1519.18
19,19,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
20,20,,151,,,Estad??a de habitaci??n,110.54,14,1547.56,0.00,0.00,1547.56
21,21,,331,,,Estad??a de habitaci??n,116.86,12,1402.32,0.00,0.00,1402.32
22,22,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
23,23,,331,,,Estad??a de habitaci??n,116.86,14,1636.04,0.00,0.00,1636.04
24,24,,13,,,Estad??a de habitaci??n,646.25,5,3231.25,0.00,0.00,3231.25
25,25,,331,,,Estad??a de habitaci??n,116.86,4,467.44,0.00,0.00,467.44
26,26,,331,,,Estad??a de habitaci??n,116.86,15,1752.90,0.00,0.00,1752.90
27,27,,331,,,Estad??a de habitaci??n,116.86,6,701.16,0.00,0.00,701.16
28,28,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
29,29,,331,,,Estad??a de habitaci??n,116.86,12,1402.32,0.00,0.00,1402.32
30,30,,331,,,Estad??a de habitaci??n,116.86,14,1636.04,0.00,0.00,1636.04
31,31,,78,,,Estad??a de habitaci??n,176.29,10,1762.90,0.00,0.00,1762.90
32,32,,331,,,Estad??a de habitaci??n,116.86,12,1402.32,0.00,0.00,1402.32
33,33,,331,,,Estad??a de habitaci??n,116.86,12,1402.32,0.00,0.00,1402.32
34,34,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
35,35,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
36,36,,331,,,Estad??a de habitaci??n,116.86,14,1636.04,0.00,0.00,1636.04
37,37,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
38,38,,331,,,Estad??a de habitaci??n,116.86,11,1285.46,0.00,0.00,1285.46
39,39,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
40,40,,331,,,Estad??a de habitaci??n,116.86,4,467.44,0.00,0.00,467.44
41,41,,49,,,Estad??a de habitaci??n,451.40,12,5416.80,0.00,0.00,5416.80
