"id_estadia","id_reservacion","checkin","checkout"
1001,1001,2025-10-24 09:23:38.724,2025-10-28 09:23:38.724
1002,1002,2025-04-16 12:45:44.951,2025-04-20 12:45:44.951
1003,1003,2025-02-27 08:38:59.326,2025-03-03 08:38:59.326
1004,1004,2025-03-07 20:42:46.665,2025-03-09 20:42:46.665
1005,1005,2025-05-28 15:33:49.023,2025-06-03 15:33:49.023
9,9,2026-05-13 07:17:08.000,2026-05-14 07:17:08.000
1006,1006,2025-05-24 01:28:33.142,2025-05-26 01:28:33.142
11,11,2026-03-23 22:26:25.000,2026-03-26 22:26:25.000
1007,1007,2025-09-05 04:42:30.473,2025-09-09 04:42:30.473
1008,1008,2025-05-14 19:02:15.326,2025-05-17 19:02:15.326
1009,1009,2025-10-20 01:36:32.219,2025-10-25 01:36:32.219
1010,1010,2025-08-09 12:10:25.681,2025-08-14 12:10:25.681
16,16,2026-04-25 23:21:13.000,2026-05-10 23:21:13.000
24,24,2025-02-18 07:18:53.000,2025-02-22 07:18:53.000
25,25,2026-01-19 04:51:23.000,2026-01-22 04:51:23.000
27,27,2026-03-14 11:00:29.000,2026-03-25 11:00:29.000
30,30,2025-02-09 13:43:47.000,2025-02-12 13:43:47.000
34,34,2026-04-30 00:14:34.000,2026-05-13 00:14:34.000
38,38,2025-03-17 22:08:49.000,2025-03-25 22:08:49.000
43,43,2025-11-06 11:56:37.000,2025-11-08 11:56:37.000
47,47,2025-03-31 01:26:48.000,2025-04-10 01:26:48.000
60,60,2025-01-26 08:54:25.000,2025-02-05 08:54:25.000
65,65,2025-08-06 23:16:35.000,2025-08-21 23:16:35.000
71,71,2026-05-08 07:22:36.000,2026-05-11 07:22:36.000
73,73,2025-06-05 23:11:20.000,2025-06-15 23:11:20.000
75,75,2025-01-29 17:43:53.000,2025-02-09 17:43:53.000
92,92,2026-04-03 00:44:19.000,2026-04-05 00:44:19.000
96,96,2025-05-08 10:35:43.000,2025-05-19 10:35:43.000
99,99,2026-03-16 05:50:29.000,2026-03-31 05:50:29.000
118,118,2025-03-14 01:28:55.000,2025-03-15 01:28:55.000
120,120,2025-10-03 07:07:01.000,2025-10-12 07:07:01.000
121,121,2025-10-07 16:02:08.000,2025-10-19 16:02:08.000
122,122,2025-10-19 15:18:42.000,2025-11-03 15:18:42.000
124,124,2026-03-17 12:13:40.000,2026-03-20 12:13:40.000
126,126,2025-04-01 11:36:41.000,2025-04-14 11:36:41.000
129,129,2025-07-06 00:34:50.000,2025-07-14 00:34:50.000
134,134,2025-03-20 09:43:03.000,2025-04-03 09:43:03.000
140,140,2026-04-27 23:50:19.000,2026-05-03 23:50:19.000
148,148,2025-11-14 23:32:18.000,2025-11-18 23:32:18.000
153,153,2025-02-10 04:20:40.000,2025-02-24 04:20:40.000
163,163,2026-03-22 09:15:31.000,2026-04-03 09:15:31.000
164,164,2025-10-28 03:13:20.000,2025-11-05 03:13:20.000
168,168,2026-05-24 22:53:59.000,2026-05-27 22:53:59.000
196,196,2026-03-03 14:40:07.000,2026-03-17 14:40:07.000
206,206,2025-03-21 03:32:22.000,2025-03-26 03:32:22.000
214,214,2025-10-03 17:14:00.000,2025-10-06 17:14:00.000
221,221,2025-12-07 08:27:35.000,2025-12-18 08:27:35.000
223,223,2026-01-18 21:26:56.000,2026-01-22 21:26:56.000
226,226,2026-01-20 18:26:27.000,2026-02-01 18:26:27.000
227,227,2025-05-18 02:12:43.000,2025-06-02 02:12:43.000
228,228,2025-09-27 21:21:39.000,2025-10-10 21:21:39.000
233,233,2025-12-21 03:12:19.000,2025-12-26 03:12:19.000
243,243,2025-12-31 12:02:59.000,2026-01-03 12:02:59.000
246,246,2026-03-24 14:16:15.000,2026-03-30 14:16:15.000
251,251,2025-01-04 03:06:12.000,2025-01-12 03:06:12.000
259,259,2026-05-05 10:16:48.000,2026-05-17 10:16:48.000
263,263,2025-08-20 22:35:43.000,2025-09-03 22:35:43.000
266,266,2025-05-14 05:45:18.000,2025-05-27 05:45:18.000
267,267,2025-04-28 18:55:28.000,2025-05-08 18:55:28.000
268,268,2026-03-22 16:32:04.000,2026-04-03 16:32:04.000
281,281,2025-04-21 03:06:11.000,2025-05-05 03:06:11.000
283,283,2025-07-20 13:29:51.000,2025-08-03 13:29:51.000
284,284,2025-12-16 18:39:03.000,2025-12-21 18:39:03.000
285,285,2025-06-29 07:40:17.000,2025-07-11 07:40:17.000
289,289,2026-03-15 10:01:39.000,2026-03-27 10:01:39.000
293,293,2025-12-27 18:28:35.000,2025-12-30 18:28:35.000
294,294,2025-01-17 01:29:14.000,2025-01-21 01:29:14.000
295,295,2025-01-24 07:56:21.000,2025-02-01 07:56:21.000
309,309,2025-04-19 21:07:21.000,2025-05-03 21:07:21.000
317,317,2025-07-09 19:34:57.000,2025-07-16 19:34:57.000
318,318,2025-08-26 16:01:47.000,2025-09-10 16:01:47.000
321,321,2025-06-12 16:50:18.000,2025-06-21 16:50:18.000
322,322,2025-10-24 21:31:22.000,2025-10-31 21:31:22.000
323,323,2025-12-15 17:49:22.000,2025-12-26 17:49:22.000
326,326,2025-08-12 21:04:11.000,2025-08-15 21:04:11.000
330,330,2025-09-21 21:41:56.000,2025-10-02 21:41:56.000
332,332,2025-05-18 00:25:05.000,2025-05-21 00:25:05.000
334,334,2025-03-21 16:10:00.000,2025-03-25 16:10:00.000
341,341,2025-04-05 08:49:28.000,2025-04-10 08:49:28.000
350,350,2026-02-02 08:56:42.000,2026-02-05 08:56:42.000
370,370,2025-08-09 23:33:51.000,2025-08-21 23:33:51.000
374,374,2025-07-30 02:34:01.000,2025-08-12 02:34:01.000
375,375,2026-03-09 08:10:05.000,2026-03-22 08:10:05.000
380,380,2025-11-25 18:02:25.000,2025-12-04 18:02:25.000
385,385,2025-11-09 14:02:36.000,2025-11-20 14:02:36.000
387,387,2026-03-07 10:07:14.000,2026-03-16 10:07:14.000
391,391,2025-09-15 09:43:11.000,2025-09-23 09:43:11.000
404,404,2025-11-04 10:58:18.000,2025-11-09 10:58:18.000
405,405,2026-02-26 02:53:39.000,2026-02-27 02:53:39.000
430,430,2025-12-21 19:33:54.000,2026-01-03 19:33:54.000
434,434,2026-04-10 03:44:47.000,2026-04-21 03:44:47.000
443,443,2025-03-29 11:46:51.000,2025-04-01 11:46:51.000
447,447,2025-09-11 18:51:44.000,2025-09-12 18:51:44.000
449,449,2025-07-02 20:49:28.000,2025-07-06 20:49:28.000
451,451,2026-03-09 18:29:17.000,2026-03-16 18:29:17.000
452,452,2025-04-02 15:35:20.000,2025-04-04 15:35:20.000
