"id_factura","id_empleado","id_huesped","id_estadia","fecha","metodo_pago","total_a_pagar"
181,244,838,1001,2025-10-28 09:23:38.724,TARJETA,2384.36
182,289,143,1002,2025-04-20 12:45:44.951,TARJETA,1574.56
183,509,899,1003,2025-03-03 08:38:59.326,EFECTIVO,1016.84
184,180,827,1004,2025-03-09 20:42:46.665,PAYPAL,1017.06
185,415,403,1005,2025-06-03 15:33:49.023,TARJETA,3791.86
186,545,838,1006,2025-05-26 01:28:33.142,EFECTIVO,1462.56
187,462,143,1007,2025-09-09 04:42:30.473,BITCOIN,1365.20
188,126,899,1008,2025-05-17 19:02:15.326,PAYPAL,468.62
189,527,827,1009,2025-10-25 01:36:32.219,TRANSFERENCIA,3622.75
190,327,403,1010,2025-08-14 12:10:25.681,BITCOIN,892.20
1,210,169,9,2026-05-14 07:17:08.000,EFECTIVO,185.86
2,528,254,11,2026-03-26 22:26:25.000,TARJETA,475.58
3,129,760,24,2025-02-22 07:18:53.000,EFECTIVO,467.44
4,404,120,25,2026-01-22 04:51:23.000,TRANSFERENCIA,350.58
5,317,911,27,2026-03-25 11:00:29.000,EFECTIVO,1322.46
6,143,784,30,2025-02-12 13:43:47.000,PAYPAL,350.58
7,27,630,34,2026-05-13 00:14:34.000,TRANSFERENCIA,1519.18
8,33,205,38,2025-03-25 22:08:49.000,TARJETA,1004.88
9,243,920,43,2025-11-08 11:56:37.000,EFECTIVO,248.72
10,111,703,47,2025-04-10 01:26:48.000,BITCOIN,1195.60
11,358,224,60,2025-02-05 08:54:25.000,BITCOIN,7699.50
12,487,494,65,2025-08-21 23:16:35.000,BITCOIN,1797.90
13,222,399,75,2025-02-09 17:43:53.000,TRANSFERENCIA,1336.46
14,433,316,92,2026-04-05 00:44:19.000,TARJETA,293.72
15,192,706,99,2026-03-31 05:50:29.000,BITCOIN,1752.90
16,180,267,118,2025-03-15 01:28:55.000,PAYPAL,116.86
17,65,587,120,2025-10-12 07:07:01.000,PAYPAL,1051.74
18,360,812,126,2025-04-14 11:36:41.000,PAYPAL,1661.18
19,488,889,129,2025-07-14 00:34:50.000,BITCOIN,934.88
20,525,363,153,2025-02-24 04:20:40.000,BITCOIN,1735.56
21,522,753,163,2026-04-03 09:15:31.000,TRANSFERENCIA,1457.32
22,390,934,164,2025-11-05 03:13:20.000,PAYPAL,975.88
23,61,941,196,2026-03-17 14:40:07.000,BITCOIN,1636.04
24,436,107,206,2025-03-26 03:32:22.000,BITCOIN,3449.25
25,355,575,223,2026-01-22 21:26:56.000,EFECTIVO,594.44
26,35,783,227,2025-06-02 02:12:43.000,BITCOIN,1752.90
27,524,16,246,2026-03-30 14:16:15.000,TARJETA,701.16
28,278,597,251,2025-01-12 03:06:12.000,TARJETA,989.88
29,113,959,259,2026-05-17 10:16:48.000,PAYPAL,1462.32
30,135,67,263,2025-09-03 22:35:43.000,TARJETA,1696.04
31,522,819,267,2025-05-08 18:55:28.000,EFECTIVO,1935.90
32,374,266,268,2026-04-03 16:32:04.000,TARJETA,1427.32
33,51,919,285,2025-07-11 07:40:17.000,TARJETA,1414.32
34,214,134,293,2025-12-30 18:28:35.000,PAYPAL,350.58
35,224,283,295,2025-02-01 07:56:21.000,TRANSFERENCIA,944.88
36,290,990,309,2025-05-03 21:07:21.000,TRANSFERENCIA,1668.04
37,433,679,326,2025-08-15 21:04:11.000,EFECTIVO,385.58
38,300,127,330,2025-10-02 21:41:56.000,TARJETA,1317.46
