"id_habitacion","id_hotel","nivel","numero_habitacion","id_tipo_habitacion","precio","estado","capacidad_maxima","descripcion"
1,4,3,4301,6,79.74,MANTENIMIENTO,4,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
2,4,6,4602,3,537.13,OCUPADA,3,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
3,9,9,9903,4,690.70,OCUPADA,1,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
4,6,6,6604,9,371.35,MANTENIMIENTO,7,In eleifend quam a odio. In hac habitasse platea dictumst.
5,8,9,8905,8,73.87,OCUPADA,10,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
6,8,7,8706,9,649.71,MANTENIMIENTO,6,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
7,7,2,7207,2,600.42,MANTENIMIENTO,7,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
8,4,3,4308,4,378.19,OCUPADA,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
9,1,6,1609,8,518.22,OCUPADA,6,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
10,4,7,4710,6,521.07,OCUPADA,3,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
11,9,2,9211,2,658.48,MANTENIMIENTO,5,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
12,4,8,4812,1,246.90,MANTENIMIENTO,3,Integer non velit.
13,2,10,3013,2,646.25,DISPONIBLE,7,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
14,6,6,6614,9,285.02,DISPONIBLE,7,Pellentesque ultrices mattis odio. Donec vitae nisi.
15,6,2,6215,7,418.03,MANTENIMIENTO,4,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
16,6,1,6116,8,283.98,MANTENIMIENTO,4,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
17,6,9,6917,5,439.08,DISPONIBLE,5,Phasellus sit amet erat. Nulla tempus.
18,8,8,8818,3,518.29,MANTENIMIENTO,8,Proin interdum mauris non ligula pellentesque ultrices.
19,6,3,6319,10,593.18,OCUPADA,10,Vestibulum ac est lacinia nisi venenatis tristique.
20,4,10,5020,4,48.91,OCUPADA,4,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
21,5,1,5121,10,304.71,OCUPADA,6,Vivamus vestibulum sagittis sapien.
22,2,5,2522,6,39.36,OCUPADA,9,Nulla facilisi.
