"id_comodidad_habitacion","id_tipo_habitacion","id_tipo_comodidad","detalle"
1,7,1,Disponible bajo petici??n
2,8,7,Incluido en la tarifa
3,6,8,Disponible bajo petici??n
4,7,4,Mantenimiento mensual
5,4,3,Incluido en la tarifa
6,9,4,Mantenimiento mensual
7,1,1,Incluido en la tarifa
8,1,10,Disponible bajo petici??n
9,9,10,Mantenimiento mensual
10,4,8,Disponible bajo petici??n
11,10,4,Requiere activaci??n previa
12,3,8,Incluido en la tarifa
13,9,4,Disponible bajo petici??n
14,6,8,Requiere activaci??n previa
15,8,3,Mantenimiento mensual
16,6,5,Disponible bajo petici??n
17,1,8,Requiere activaci??n previa
18,5,5,Incluido en la tarifa
19,3,10,Disponible bajo petici??n
20,9,10,Mantenimiento mensual
21,5,7,Incluido en la tarifa
22,3,1,Requiere activaci??n previa
23,4,1,Disponible bajo petici??n
24,2,5,Mantenimiento mensual
25,3,3,Disponible bajo petici??n
26,6,6,Incluido en la tarifa
27,9,9,Incluido en la tarifa
28,2,1,Mantenimiento mensual
29,3,1,Incluido en la tarifa
30,4,5,Requiere activaci??n previa
31,3,7,Requiere activaci??n previa
32,5,10,Mantenimiento mensual
33,9,10,Disponible bajo petici??n
34,7,2,Mantenimiento mensual
35,9,6,Disponible bajo petici??n
36,6,3,Disponible bajo petici??n
37,8,5,Incluido en la tarifa
38,1,1,Disponible bajo petici??n
39,4,10,Requiere activaci??n previa
40,7,5,Incluido en la tarifa
41,6,7,Incluido en la tarifa
42,9,1,Mantenimiento mensual
43,3,10,Mantenimiento mensual
44,5,10,Incluido en la tarifa
45,10,1,Incluido en la tarifa
46,6,8,Incluido en la tarifa
47,5,1,Incluido en la tarifa
48,6,9,Incluido en la tarifa
49,6,5,Disponible bajo petici??n
50,3,3,Mantenimiento mensual
51,8,7,Disponible bajo petici??n
52,5,8,Incluido en la tarifa
53,4,6,Mantenimiento mensual
54,3,9,Disponible bajo petici??n
55,6,3,Incluido en la tarifa
56,1,8,Mantenimiento mensual
57,7,10,Requiere activaci??n previa
58,4,4,Disponible bajo petici??n
59,8,7,Incluido en la tarifa
60,5,3,Disponible bajo petici??n
61,6,4,Incluido en la tarifa
62,9,2,Requiere activaci??n previa
63,10,5,Mantenimiento mensual
64,10,9,Requiere activaci??n previa
65,3,7,Incluido en la tarifa
66,3,10,Incluido en la tarifa
67,10,5,Requiere activaci??n previa
68,10,2,Incluido en la tarifa
69,8,6,Disponible bajo petici??n
70,6,3,Mantenimiento mensual
71,5,9,Incluido en la tarifa
72,6,7,Mantenimiento mensual
73,2,2,Disponible bajo petici??n
74,8,7,Disponible bajo petici??n
75,9,10,Requiere activaci??n previa
76,7,4,Incluido en la tarifa
77,5,7,Mantenimiento mensual
78,8,3,Incluido en la tarifa
79,4,2,Incluido en la tarifa
80,7,5,Incluido en la tarifa
81,8,7,Mantenimiento mensual
82,5,10,Disponible bajo petici??n
83,3,2,Disponible bajo petici??n
84,5,10,Requiere activaci??n previa
85,4,1,Incluido en la tarifa
86,1,2,Disponible bajo petici??n
87,2,2,Mantenimiento mensual
88,7,9,Requiere activaci??n previa
89,2,8,Mantenimiento mensual
90,8,5,Disponible bajo petici??n
91,1,1,Requiere activaci??n previa
92,2,3,Disponible bajo petici??n
93,2,3,Mantenimiento mensual
94,5,7,Mantenimiento mensual
95,8,3,Incluido en la tarifa
96,9,5,Disponible bajo petici??n
97,3,6,Incluido en la tarifa
98,5,6,Mantenimiento mensual
99,8,6,Requiere activaci??n previa
100,8,10,Mantenimiento mensual
101,6,10,Incluido en la tarifa
102,4,1,Disponible bajo petici??n
103,10,10,Mantenimiento mensual
104,10,6,Incluido en la tarifa
105,2,6,Requiere activaci??n previa
106,3,6,Requiere activaci??n previa
107,4,5,Incluido en la tarifa
108,6,6,Disponible bajo petici??n
109,1,4,Incluido en la tarifa
110,7,4,Disponible bajo petici??n
111,10,1,Mantenimiento mensual
112,8,2,Requiere activaci??n previa
113,6,8,Mantenimiento mensual
114,1,5,Requiere activaci??n previa
115,9,6,Incluido en la tarifa
116,8,1,Disponible bajo petici??n
117,9,10,Mantenimiento mensual
118,1,2,Requiere activaci??n previa
119,4,6,Requiere activaci??n previa
120,5,3,Incluido en la tarifa
121,4,3,Incluido en la tarifa
122,4,1,Mantenimiento mensual
123,1,10,Mantenimiento mensual
124,9,10,Requiere activaci??n previa
125,2,6,Disponible bajo petici??n
126,4,10,Disponible bajo petici??n
127,3,1,Incluido en la tarifa
128,6,7,Mantenimiento mensual
129,2,10,Mantenimiento mensual
130,9,10,Mantenimiento mensual
131,8,7,Mantenimiento mensual
132,6,5,Mantenimiento mensual
133,4,3,Disponible bajo petici??n
134,3,9,Requiere activaci??n previa
