"id_factura","id_empleado","id_huesped","id_estadia","fecha","metodo_pago","total_a_pagar"
1,1,1,1,2025-02-08 00:42:41.000,TARJETA,1707.03
2,2,2,2,2026-01-29 12:48:00.000,PAYPAL,2645.08
3,3,3,3,2026-08-05 19:55:28.000,EFECTIVO,2017.26
4,4,4,4,2026-12-25 17:40:22.000,TRANSFERENCIA,1517.95
5,5,5,5,2026-06-19 06:04:04.000,PAYPAL,1050.47
6,6,6,6,2026-09-09 01:23:14.000,TRANSFERENCIA,693.00
7,7,7,7,2025-03-18 11:19:32.000,TRANSFERENCIA,2099.37
8,8,8,8,2026-02-01 12:20:51.000,BITCOIN,45.49
9,9,9,9,2025-03-17 16:58:13.000,PAYPAL,1302.05
10,10,10,10,2025-12-06 19:59:46.000,TARJETA,2053.35
11,11,11,11,2026-08-24 04:02:44.000,PAYPAL,2483.54
12,12,12,12,2025-03-07 16:20:13.000,TRANSFERENCIA,2608.28
13,13,13,13,2026-08-05 16:03:10.000,TARJETA,2782.04
14,14,14,14,2026-09-02 20:43:15.000,EFECTIVO,131.95
15,15,15,15,2026-05-31 17:29:40.000,EFECTIVO,512.24
16,16,16,16,2025-10-02 07:42:09.000,TARJETA,1551.25
17,17,17,17,2025-06-30 02:57:47.000,PAYPAL,1820.41
18,18,18,18,2026-11-22 01:36:25.000,TRANSFERENCIA,1927.65
19,19,19,19,2025-09-28 15:00:19.000,PAYPAL,1340.18
20,20,20,20,2026-06-17 10:19:41.000,BITCOIN,364.98
21,21,21,21,2026-02-13 15:52:36.000,TRANSFERENCIA,201.54
22,22,22,22,2025-06-23 18:11:06.000,EFECTIVO,411.35
23,23,23,23,2025-07-07 02:10:25.000,TARJETA,2774.19
24,24,24,24,2025-06-26 01:16:04.000,BITCOIN,783.35
25,25,25,25,2025-10-02 13:04:44.000,TRANSFERENCIA,1326.45
26,26,26,26,2026-03-22 13:13:53.000,BITCOIN,2440.31
27,27,27,27,2025-01-19 01:57:33.000,TRANSFERENCIA,1769.48
28,28,28,28,2026-04-25 11:08:13.000,PAYPAL,1962.62
29,29,29,29,2025-02-26 19:47:43.000,PAYPAL,2828.88
30,30,30,30,2025-08-21 13:42:24.000,BITCOIN,596.30
31,31,31,31,2025-03-05 23:33:40.000,PAYPAL,1209.79
32,32,32,32,2026-03-10 19:26:45.000,TARJETA,1845.50
33,33,33,33,2026-06-21 20:34:30.000,BITCOIN,1739.99
34,34,34,34,2026-06-12 19:16:10.000,TARJETA,571.18
35,35,35,35,2026-05-31 10:14:13.000,TARJETA,2142.72
36,36,36,36,2025-09-30 08:00:04.000,TARJETA,2981.03
37,37,37,37,2026-03-04 13:48:23.000,PAYPAL,568.35
38,38,38,38,2026-03-12 00:21:05.000,BITCOIN,1612.60
39,39,39,39,2025-05-01 17:17:05.000,BITCOIN,2389.87
40,40,40,40,2026-03-04 15:35:45.000,PAYPAL,1905.73
41,41,41,41,2025-12-25 07:26:22.000,BITCOIN,986.54
42,42,42,42,2026-06-19 06:39:27.000,PAYPAL,533.77
43,43,43,43,2025-03-29 08:13:36.000,EFECTIVO,1108.57
44,44,44,44,2026-06-20 00:02:06.000,TARJETA,2411.61
45,45,45,45,2026-06-06 03:39:03.000,TRANSFERENCIA,149.15
46,46,46,46,2025-06-02 09:41:49.000,BITCOIN,2450.14
47,47,47,47,2025-09-26 03:05:59.000,TRANSFERENCIA,662.65
48,48,48,48,2025-01-01 15:44:47.000,TARJETA,2691.60
49,49,49,49,2025-06-05 09:55:44.000,TARJETA,2977.07
50,50,50,50,2025-12-16 23:52:22.000,PAYPAL,1005.50
51,51,51,51,2025-12-01 11:10:24.000,TARJETA,482.60
52,52,52,52,2025-05-31 07:51:27.000,PAYPAL,2029.60
53,53,53,53,2026-05-13 22:35:22.000,PAYPAL,945.16
54,54,54,54,2026-10-07 02:48:58.000,PAYPAL,1932.69
55,55,55,55,2026-09-19 02:51:30.000,TRANSFERENCIA,97.90
56,56,56,56,2025-06-05 04:53:07.000,TRANSFERENCIA,419.89
57,57,57,57,2026-08-01 19:10:04.000,TRANSFERENCIA,498.32
58,58,58,58,2025-12-03 07:26:57.000,TARJETA,1227.65
59,59,59,59,2025-03-15 09:01:36.000,TARJETA,643.00
60,60,60,60,2026-10-15 09:44:31.000,TARJETA,1887.36
61,61,61,61,2026-06-04 10:59:04.000,EFECTIVO,2890.82
62,62,62,62,2026-03-23 08:04:05.000,EFECTIVO,1944.21
63,63,63,63,2025-02-08 23:43:37.000,BITCOIN,614.85
64,64,64,64,2025-11-15 08:34:39.000,TARJETA,883.59
65,65,65,65,2025-03-11 23:54:07.000,EFECTIVO,1264.36
66,66,66,66,2025-11-19 15:51:35.000,TRANSFERENCIA,2661.52
67,67,67,67,2026-06-06 00:06:48.000,PAYPAL,2188.31
68,68,68,68,2026-07-10 22:01:22.000,TRANSFERENCIA,396.46
69,69,69,69,2026-09-05 06:08:29.000,PAYPAL,1712.65
70,70,70,70,2026-05-14 00:46:55.000,BITCOIN,1338.78
71,71,71,71,2025-08-24 00:03:41.000,EFECTIVO,1285.57
72,72,72,72,2026-01-30 06:31:02.000,EFECTIVO,1788.91
73,73,73,73,2025-10-10 11:47:54.000,TRANSFERENCIA,2185.80
74,74,74,74,2026-01-11 13:39:02.000,PAYPAL,2154.19
75,75,75,75,2025-08-20 00:15:14.000,EFECTIVO,552.42
76,76,76,76,2026-03-05 22:58:39.000,EFECTIVO,2957.43
77,77,77,77,2025-07-09 18:29:45.000,TRANSFERENCIA,1884.88
78,78,78,78,2025-05-11 21:32:39.000,PAYPAL,430.05
79,79,79,79,2026-03-15 02:54:02.000,EFECTIVO,2022.73
80,80,80,80,2025-08-14 19:58:22.000,PAYPAL,89.60
81,81,81,81,2026-02-21 01:41:01.000,PAYPAL,1067.90
82,82,82,82,2025-06-03 11:57:57.000,PAYPAL,586.48
83,83,83,83,2026-05-10 01:55:06.000,BITCOIN,1876.50
84,84,84,84,2026-09-23 17:22:52.000,TARJETA,1043.77
85,85,85,85,2025-06-25 02:03:09.000,TARJETA,324.91
86,86,86,86,2025-06-05 22:06:56.000,PAYPAL,1480.92
87,87,87,87,2026-12-28 11:04:34.000,PAYPAL,2016.74
88,88,88,88,2026-04-15 03:30:41.000,EFECTIVO,2511.05
89,89,89,89,2025-07-15 04:31:07.000,BITCOIN,110.23
90,90,90,90,2025-07-24 15:36:03.000,PAYPAL,651.40
91,91,91,91,2025-11-25 21:22:03.000,PAYPAL,2540.94
92,92,92,92,2025-12-09 08:43:06.000,PAYPAL,989.78
93,93,93,93,2025-12-21 19:32:39.000,TARJETA,869.87
94,94,94,94,2025-01-07 13:03:16.000,PAYPAL,2415.20
95,95,95,95,2025-12-18 04:10:04.000,TRANSFERENCIA,1789.95
96,96,96,96,2025-03-23 21:36:00.000,EFECTIVO,921.13
97,97,97,97,2025-09-30 06:32:53.000,TRANSFERENCIA,148.61
98,98,98,98,2025-04-04 17:52:52.000,BITCOIN,289.32
99,99,99,99,2025-01-30 07:39:46.000,PAYPAL,814.18
100,100,100,100,2026-09-16 04:14:54.000,TARJETA,498.62
101,101,101,101,2026-06-19 05:45:55.000,EFECTIVO,2324.65
102,102,102,102,2026-12-30 15:07:17.000,EFECTIVO,1608.84
103,103,103,103,2026-06-13 14:07:46.000,PAYPAL,1981.08
104,104,104,104,2026-08-29 09:05:48.000,EFECTIVO,1540.96
105,105,105,105,2025-06-19 03:01:57.000,PAYPAL,1443.95
106,106,106,106,2025-03-27 08:18:12.000,PAYPAL,752.29
107,107,107,107,2025-11-23 03:42:44.000,TRANSFERENCIA,911.22
