"id_resenia","id_estadia","id_huesped","calificacion","comentario"
9,9,685,2.7,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
11,11,53,2.0,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
16,16,730,1.4,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
24,24,981,2.0,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
25,25,979,1.9,Quisque ut erat.
27,27,220,3.4,Maecenas rhoncus aliquam lacus.
34,34,332,4.7,Pellentesque eget nunc.
47,47,811,4.2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
43,43,563,3.2,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
60,60,386,2.6,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
65,65,570,1.2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
73,73,681,1.9,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
979,979,925,3.5,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
75,75,12,2.8,Vestibulum ac est lacinia nisi venenatis tristique.
71,71,594,2.8,Integer tincidunt ante vel ipsum.
38,38,759,4.5,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
92,92,257,4.7,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
96,96,446,2.0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
99,99,214,2.0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
